Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
170,0.3111,0.3344,0.66709,30.822,0.3356,0.2695,2.8681,-9.9835,0,0,0.3
171,0.3105,0.3224,0.66527,0.031,0.335,0.2576,2.8743,-8.6406,0,0,0.3
172,0.31,0.3097,0.66345,0.031,0.3346,0.245,-0.0057,-11.5206,0,0,0.3
173,0.3095,0.2964,0.66163,-8.638,0.3342,0.2317,1.8332,-9.2929,0,0,0.3
174,0.3091,0.2824,0.65922,-4.297,0.3339,0.2177,1.629,-9.6851,0,0,0.3
175,0.3089,0.2678,0.6565,-4.392,0.3337,0.2031,1.6301,-9.6749,0,0,0.3
176,0.3089,0.2526,0.65348,17.361,0.3336,0.1877,4.9625,-10.2183,0,0,0.3
177,0.3093,0.2367,0.65167,69.661,0.3339,0.1717,4.036,-13.5507,0,0,0.3
178,0.31,0.22,0.65469,78.391,0.3345,0.1547,0.6942,-9.9937,0,0,0.3
179,0.3107,0.2026,0.66316,-39.325,0.3351,0.1371,-15.5257,-0.7185,0,0,0.3
180,0.3097,0.1845,0.66889,-417.702,0.3346,0.1193,-45.599,17.8042,0,0,0.3
181,0.3041,0.1664,0.64562,-786.557,0.331,0.1028,-68.5626,37.9949,-33.31,66.65,0.3949
182,0.2925,0.1497,0.56773,-767.434,0.3226,0.089,-50.5987,43.9884,-91.16,269.12,0.3878
183,0.278,0.1356,0.43654,-182.145,0.3107,0.0782,4.9168,34.6568,-120.24,509.06,0.3833
184,0.2656,0.1244,0.2927,397.534,0.2991,0.0698,51.6416,28.8502,-41.12,561.4,0.3781
185,0.2573,0.1146,0.17647,516.002,0.2911,0.0635,53.7941,20.9363,49.68,515.8,0.3709
186,0.2518,0.1049,0.09608,406.853,0.2869,0.0585,28.8874,20.1216,50.81,523.4,0.3619
187,0.2478,0.0954,0.04394,352.96,0.2847,0.055,15.6886,20.252,15.16,623.05,0.3455
188,0.2451,0.0877,0.0163,286.543,0.2835,0.0529,13.1098,18.6776,26.57,819.18,0.321
189,0.2452,0.0837,0.00857,209.631,0.2833,0.0521,12.4314,16.4276,100.17,1039.72,0.3001
190,0.248,0.0838,0.0154,82.377,0.2839,0.0524,5.6363,7.5525,143.13,1087.08,0.2935
191,0.252,0.0865,0.02794,25.921,0.2849,0.0532,1.6051,1.6718,81,925.55,0.3039
192,0.2555,0.0897,0.04229,-67.772,0.286,0.0542,-6.9976,-4.726,-17.32,721.94,0.3266
193,0.2574,0.0919,0.05193,-90.18,0.2867,0.0548,-5.6667,-5.3139,-73.3,594.75,0.3478
