Frame,AANK,WANK,RJM,RJFS,RJFC,WFOOT,WLEG
255,18,-87.53,12.66,1.44,226.36,-4.59,92.12
256,17.25,-90.75,12.06,2.71,217.94,-2.3,93.04
257,16.48,-91.09,11.5,1.51,210.76,-2.29,93.38
258,15.73,-91.74,11.09,1.83,204.25,-2.29,94.04
259,14.96,-92.41,10.58,1.77,198.32,-2.29,94.7
260,14.19,-88.72,10.13,0.99,191.71,-4.59,93.31
261,13.48,-87.35,9.71,3.12,187.13,-4.59,91.94
262,12.73,-91.51,9.5,0.62,180.70,-2.29,93.8
263,11.95,-88.08,9,0.92,176.58,-4.58,92.67
264,11.27,-86.75,8.66,0.85,172.95,-4.58,91.34
265,10.51,-88.69,8.19,1.08,171.87,-2.29,90.98
266,9.79,-85.3,8.11,-0.44,170.17,-4.58,89.88
267,9.08,-87.81,8.03,-0.95,169.73,-2.73,90.54
268,8.32,-84.74,7.7,-3.00,168.42,-4.58,89.32
269,7.67,-77.64,7.46,-1.56,169.24,-6.87,84.51
270,7.03,-76.54,7.05,-4.20,168.78,-5.02,81.57
271,6.4,-73.95,6.83,-7.16,173.25,-4.58,78.53
272,5.8,-68.08,6.58,-6.85,177.10,-4.58,72.66
273,5.26,-63.28,6.48,-10.70,184.61,-4.58,67.86
274,4.74,-62.21,6.23,-9.90,195.00,-2.74,64.95
275,4.22,-56.52,6.15,-12.47,205.79,-2.74,59.26
276,3.8,-46.96,6.35,-13.59,220.09,-4.58,51.54
277,3.44,-40.25,6.54,-14.82,235.07,-4.58,44.83
278,3.13,-36.88,6.73,-15.94,250.49,-2.29,39.17
279,2.83,-32.08,6.84,-18.51,267.66,-2.29,34.37
280,2.6,-26.82,6.77,-17.49,283.67,-2.74,29.56
281,2.38,-21.59,6.7,-21.05,301.05,-2.29,23.88
282,2.24,-15.87,6.52,-19.76,315.15,-2.29,18.16
283,2.12,-10.99,6.46,-21.86,326.30,-0.46,11.45
284,2.05,-5.75,6.72,-22.66,338.14,0,5.75
285,2.02,-1.91,6.87,-22.96,346.95,0,1.91
286,2.02,1.94,6.9,-22.72,353.58,0,-1.94
287,2.05,4.39,7.02,-21.75,357.53,2.29,-6.68
288,2.09,4.97,7.09,-20.43,359.55,4.58,-9.54
