Time(s),Force(N)
 1.932,   1.600
 1.934,   1.528
 1.936,   1.568
 1.938,   1.823
 1.940,   1.821
 1.942,   1.739
 1.944,   1.627
 1.946,   1.539
 1.948,   1.532
 1.950,   1.779
 1.952,   1.831
 1.954,   1.766
 1.956,   1.654
 1.958,   1.555
 1.960,   1.520
 1.962,   1.703
 1.964,   1.837
 1.966,   1.788
 1.968,   1.682
 1.970,   1.575
 1.972,   1.522
 1.974,   1.626
 1.976,   1.839
 1.978,   1.806
 1.980,   1.711
 1.982,   1.600
 1.984,   1.528
 1.986,   1.568
 1.988,   1.823
 1.990,   1.821
 1.992,   1.739
 1.994,   1.627
 1.996,   1.539
 1.998,   1.532
 2.000,   1.779
