Time(s),Length(m),[Calcium],Force(N)
 0.904,0.258000,1.000000,60.806595
 0.906,0.257945,1.000000,60.819354
 0.908,0.257889,1.000000,60.831983
 0.910,0.257834,1.000000,60.844483
 0.912,0.257779,1.000000,60.856852
 0.914,0.257724,1.000000,60.869092
 0.916,0.257669,1.000000,60.881201
 0.918,0.257614,1.000000,60.893181
 0.920,0.257559,1.000000,60.905030
 0.922,0.257503,1.000000,60.916749
 0.924,0.257448,1.000000,60.928337
 0.926,0.257393,1.000000,60.939795
 0.928,0.257338,1.000000,60.951123
 0.930,0.257283,1.000000,60.962319
 0.932,0.257227,1.000000,60.973385
 0.934,0.257172,1.000000,60.984320
 0.936,0.257117,1.000000,60.995123
 0.938,0.257062,1.000000,61.005796
 0.940,0.257007,1.000000,61.016337
 0.942,0.256951,1.000000,61.026746
 0.944,0.256896,1.000000,61.037023
 0.946,0.256841,1.000000,61.047168
 0.948,0.256786,1.000000,61.057181
 0.950,0.256731,1.000000,61.067062
 0.952,0.256675,1.000000,61.076810
 0.954,0.256620,1.000000,61.086426
 0.956,0.256565,1.000000,61.095908
 0.958,0.256510,1.000000,61.105258
 0.960,0.256454,1.000000,61.114474
 0.962,0.256399,1.000000,61.123557
 0.964,0.256344,1.000000,61.132506
 0.966,0.256289,1.000000,61.141322
 0.968,0.256233,1.000000,61.150003
 0.970,0.256178,1.000000,61.158550
 0.972,0.256123,1.000000,61.166963
 0.974,0.256067,1.000000,61.175241
 0.976,0.256012,1.000000,61.183384
 0.978,0.255957,1.000000,61.191392
 0.980,0.255902,1.000000,61.199265
 0.982,0.255846,1.000000,61.207002
 0.984,0.255791,1.000000,61.214604
 0.986,0.255736,1.000000,61.222070
 0.988,0.255680,1.000000,61.229400
 0.990,0.255625,1.000000,61.236594
 0.992,0.255570,1.000000,61.243651
 0.994,0.255514,1.000000,61.250571
 0.996,0.255459,1.000000,61.257355
 0.998,0.255404,1.000000,61.264002
 1.000,0.255348,1.000000,61.270511
 1.002,0.255293,1.000000,61.276883
 1.004,0.255238,1.000000,61.283117
 1.006,0.255182,1.000000,61.289214
 1.008,0.255127,1.000000,61.295172
 1.010,0.255072,1.000000,61.300992
 1.012,0.255016,1.000000,61.306674
 1.014,0.254961,1.000000,61.312217
 1.016,0.254905,1.000000,61.317621
 1.018,0.254850,1.000000,61.322885
 1.020,0.254795,1.000000,61.328011
 1.022,0.254739,1.000000,61.332997
 1.024,0.254684,1.000000,61.337844
 1.026,0.254628,1.000000,61.342550
 1.028,0.254573,1.000000,61.347117
 1.030,0.254518,1.000000,61.351543
 1.032,0.254462,1.000000,61.355829
 1.034,0.254407,1.000000,61.359974
 1.036,0.254351,1.000000,61.363979
 1.038,0.254296,1.000000,61.367842
 1.040,0.254241,1.000000,61.371564
 1.042,0.254185,1.000000,61.375145
 1.044,0.254130,1.000000,61.378584
 1.046,0.254074,1.000000,61.381881
 1.048,0.254019,1.000000,61.385036
 1.050,0.253963,1.000000,61.388049
 1.052,0.253908,1.000000,61.390919
 1.054,0.253852,1.000000,61.393647
 1.056,0.253797,1.000000,61.396233
 1.058,0.253741,1.000000,61.398675
 1.060,0.253686,1.000000,61.400974
 1.062,0.253630,1.000000,61.403130
 1.064,0.253575,1.000000,61.405142
 1.066,0.253519,1.000000,61.407011
 1.068,0.253464,1.000000,61.408736
 1.070,0.253408,1.000000,61.410316
 1.072,0.253353,1.000000,61.411752
 1.074,0.253297,1.000000,61.413044
 1.076,0.253242,1.000000,61.414192
 1.078,0.253186,1.000000,61.415194
 1.080,0.253131,1.000000,61.416052
 1.082,0.253075,1.000000,61.416764
 1.084,0.253020,1.000000,61.417331
 1.086,0.252964,1.000000,61.417752
 1.088,0.252909,1.000000,61.418028
 1.090,0.252853,1.000000,61.418158
 1.092,0.252798,1.000000,61.418142
 1.094,0.252742,1.000000,61.417980
 1.096,0.252687,1.000000,61.417671
 1.098,0.252631,1.000000,61.417215
 1.100,0.252575,1.000000,61.416613
 1.102,0.252520,1.000000,61.415864
 1.104,0.252464,1.000000,61.414968
 1.106,0.252409,1.000000,61.413925
 1.108,0.252353,1.000000,61.412734
 1.110,0.252297,1.000000,61.411396
 1.112,0.252242,1.000000,61.409909
